ID,Title,Category,CaseType,Difficulty,RiskLevel,Duration(Days),Background,Solution,Outcome,Phase_Details
1,"배우자 의심 행적 조사","개인사례","INFIDELITY","중간","MEDIUM",10,"","","",""
2,"기업 내부 정보 유출 사건","기업조사","IP_LEAK","어려움","HIGH",21,"","","",""
3,"adultery_investigation","","","중간","",,"","","","[Phase 1] 사건 접수 및 초기 상담 (2days)
null

  - [File] 상담 기록서
  - [File] 계약서
  - [File] 조사 계획서

[Phase 2] 대상자 신원 확인 및 행동 패턴 분석 (3days)
null

  - [File] 신원 조사 보고서
  - [File] 행동 패턴 분석서
  - [File] 스케줄 추적표

[Phase 3] 현장 감시 및 증거 수집 (7days)
null

  - [File] 현장 감시 일지
  - [File] 사진/영상 증거
  - [File] 통화 기록
  - [File] 만남 현장 보고서

[Phase 4] 증거 분석 및 법적 검토 (2days)
null

  - [File] 증거 분석 보고서
  - [File] 법적 유효성 검토서
  - [File] 조사 결과 요약"
4,"credit_investigation_case","","","보통","",,"","","","[Phase 1] 기본 정보 수집 (2days)
null
  - [Task] 대상자 기본 신상 정보 확인
  - [Task] 사업자등록증 및 법인등기부등본 수집
  - [Task] 주소지 및 사업장 실태 확인
  - [File] 기본 신상 정보
  - [File] 사업자 등록증
  - [File] 법인 등기부등본

[Phase 2] 재정 상태 조사 (4days)
null
  - [Task] 재무제표 및 세무 신고 내역 확인
  - [Task] 금융기관 대출 및 부채 현황 조사
  - [Task] 부동산 및 주요 자산 현황 파악
  - [Task] 매출 및 수익성 분석
  - [File] 재무제표 분석
  - [File] 부채 현황
  - [File] 자산 목록

[Phase 3] 거래 이력 및 평판 조사 (3days)
null
  - [Task] 주요 거래처 및 거래 이력 조사
  - [Task] 업계 내 평판 및 신뢰도 조사
  - [Task] 법적 분쟁 및 소송 이력 확인
  - [File] 거래 이력 보고서
  - [File] 평판 조사 결과
  - [File] 분쟁 이력

[Phase 4] 종합 분석 및 보고서 작성 (1days)
null
  - [Task] 수집 정보 종합 분석
  - [Task] 신용도 등급 산정
  - [Task] 최종 보고서 작성
  - [File] 종합 신용 보고서
  - [File] 리스크 평가
  - [File] 권고사항"
5,"배우자 의심 행적 조사","개인사례","INFIDELITY","중간","MEDIUM",10,"","","",""
6,"기업 내부 정보 유출 사건","기업조사","IP_LEAK","어려움","HIGH",21,"","","",""
7,"배우자 의심 행적 조사","개인사례","INFIDELITY","중간","MEDIUM",10,"","","",""
8,"기업 내부 정보 유출 사건","기업조사","IP_LEAK","어려움","HIGH",21,"","","",""
9,"[기업 횡령] 대구 Industrial 자금 횡령 해결 사례","","","하","",,"대구 Industrial 지역에서 발생한 자금 횡령 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (6days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (16days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (9days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
10,"[개인 신변] 부산 Haeundae 채무자 추적 해결 사례","","","상","",,"부산 Haeundae 지역에서 발생한 채무자 추적 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (4days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (10days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (6days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
11,"[기업 횡령] 대전 Center 법인카드 유용 해결 사례","","","하","",,"대전 Center 지역에서 발생한 법인카드 유용 건으로, 의뢰인은 익명의 제보를 통해 사건을 인지함.","전담 팀 구성 및 24시간 모니터링, 디지털 포렌식 병행.","증거 확보 100% 달성 및 법적 대응 자료 완비.","[Phase 1] 기초 조사 (2days)
null

  - [File] 기초 조사 보고서

[Phase 1] 심층 추적 (5days)
null

  - [File] 중간 브리핑
  - [File] 증거 영상

[Phase 1] 결과 보고 (3days)
null

  - [File] 최종 보고서
  - [File] 법률 자문 연계"
